Timestamp,Value
716,74.95
717,104.76
718,79.78
719,116.04
720,114.43
721,118.46
722,103.96
723,90.26
724,84.62
725,116.04
726,79.78
727,116.85
728,87.03
729,103.15
730,95.09
731,99.12
732,105.57
733,83.0
734,91.06
735,99.93
736,114.43
737,116.04
738,95.9
739,104.76
740,83.0
741,101.54
742,90.26
743,85.42
744,110.4
745,77.36
746,85.42
747,77.36
748,88.64
749,95.9
750,84.62
751,119.27
752,85.42
753,117.66
754,107.18
755,115.24
756,105.57
757,107.18
758,114.43
759,115.24
760,115.24
761,76.56
762,99.93
763,107.18
764,109.6
765,114.43
766,80.59
767,101.54
768,103.15
769,113.63
770,88.64
771,106.37
772,110.4
773,104.76
774,90.26
775,77.36
776,100.73
777,78.17
778,103.15
779,113.63
780,91.06
781,120.07
782,110.4
783,74.95
784,111.21
785,97.51
786,115.24
787,100.73
788,96.7
789,97.51
790,103.15
791,113.63
792,95.09
793,83.81
794,84.62
795,86.23
796,110.4
797,114.43
798,83.81
799,95.9
800,86.23
801,101.54
802,89.45
803,113.63
804,113.63
805,91.06
806,91.06
807,85.42
808,97.51
809,116.04
810,94.29
811,96.7
812,102.34
813,87.03
814,74.95
815,87.03
816,113.63
817,88.64
818,86.23
819,82.2
820,100.73
821,98.32
822,104.76
823,81.39
824,112.01
825,94.29
826,116.04
827,77.36
828,77.36
829,116.04
830,82.2
831,85.42
832,103.96
833,91.06
834,114.43
835,101.54
836,98.32
837,77.36
838,88.64
839,94.29
840,78.97
841,82.2
842,113.63
843,103.15
844,107.99
845,83.0
846,104.76
847,83.81
848,84.62
849,93.48
850,108.79
851,79.78
852,116.04
853,91.06
854,88.64
855,110.4
856,93.48
857,74.95
858,76.56
859,105.57
860,110.4
861,89.45
862,107.18
863,99.93
864,103.96
865,90.26
866,87.03
867,101.54
868,84.62
869,80.59
870,111.21
871,102.34
872,109.6
873,74.95
874,103.96
875,88.64
876,116.85
877,112.82
878,99.12
879,95.09
880,110.4
881,93.48
882,107.18
883,87.84
884,95.09
885,85.42
886,105.57
887,86.23
888,99.93
889,103.15
890,87.84
891,103.96
892,76.56
893,78.17
894,75.75
895,74.95
896,110.4
897,109.6
898,99.12
899,85.42
900,107.18
901,107.18
902,103.15
903,110.4
904,84.62
905,87.03
906,74.14
907,102.34
908,105.57
909,75.75
910,94.29
911,85.42
912,109.6
913,94.29
914,96.7
915,86.23
916,116.85
917,113.63
918,86.23
919,103.15
920,92.67
921,78.17
922,99.93
923,111.21
924,112.82
925,78.17
926,106.37
927,111.21
928,103.15
929,82.2
930,74.95
931,90.26
932,107.99
933,75.75
934,81.39
935,99.93
936,92.67
937,87.84
938,78.17
939,89.45
940,88.64
941,85.42
942,100.73
943,91.87
944,107.18
945,75.75
946,114.43
947,106.37
948,82.2
949,80.59
950,104.76
951,86.23
952,103.15
953,117.66
954,118.46
955,116.04
956,104.76
957,91.06
958,91.87
959,103.15
960,111.21
961,112.01
962,88.64
963,81.39
964,94.29
965,113.63
966,110.4
967,94.29
968,107.18
969,88.64
970,99.93
971,84.62
972,87.03
973,112.01
974,115.24
975,107.18
976,85.42
977,80.59
978,84.62
979,116.85
980,83.0
981,95.09
982,107.99
983,83.81
984,96.7
985,79.78
986,100.73
987,95.09
988,102.34
989,112.01
990,109.6
991,104.76
992,111.21
993,112.01
994,76.56
995,103.15
996,106.37
997,93.48
998,89.45
999,103.15
1000,84.62
1001,99.12
1002,93.48
1003,87.84
1004,106.37
1005,81.39
1006,107.99
1007,104.76
1008,83.0
1009,113.63
1010,104.76
1011,77.36
1012,118.46
1013,97.51
1014,107.18
1015,115.24
1016,81.39
1017,82.2
1018,112.01
1019,76.56
1020,95.9
1021,78.17
1022,98.32
1023,82.2
1024,99.12
1025,86.23
1026,91.87
1027,76.56
1028,105.57
1029,100.73
1030,107.18
1031,100.73
1032,105.57
1033,85.42
1034,81.39
1035,107.99
1036,101.54
1037,98.32
1038,107.18
1039,78.17
1040,112.82
1041,83.81
1042,81.39
1043,101.54
1044,99.12
1045,116.85
1046,108.79
1047,102.34
1048,77.36
1049,107.99
1050,115.24
1051,113.63
1052,95.9
1053,107.18
1054,105.57
1055,88.64
1056,75.75
1057,112.01
1058,77.36
1059,111.21
1060,91.06
1061,96.7
1062,95.9
1063,117.66
1064,111.21
1065,76.56
1066,91.87
1067,92.67
1068,80.59
1069,84.62
1070,83.81
1071,103.15
1072,100.73
1073,103.15
1074,78.97
1075,112.01
1076,93.48
1077,87.84
1078,83.81
1079,110.4
1080,94.29
1081,95.9
1082,77.36
1083,75.75
1084,82.2
1085,90.26
1086,86.23
1087,99.12
1088,78.97
1089,103.96
1090,116.85
1091,123.3
1092,103.15
1093,116.04
1094,90.26
1095,114.43
1096,101.54
1097,93.48
1098,76.56
1099,112.82
1100,91.87
1101,99.12
1102,100.73
1103,90.26
1104,99.12
1105,110.4
1106,88.64
1107,103.15
1108,79.78
1109,118.46
1110,84.62
1111,97.51
1112,76.56
1113,95.09
1114,88.64
1115,103.96
1116,97.51
1117,99.93
1118,86.23
1119,112.82
1120,107.18
1121,78.97
1122,97.51
1123,104.76
1124,100.73
1125,114.43
1126,113.63
1127,117.66
1128,78.17
1129,100.73
1130,100.73
1131,112.82
1132,80.59
1133,87.03
1134,84.62
1135,86.23
1136,107.99
1137,100.73
1138,87.03
1139,99.12
1140,109.6
1141,114.43
1142,106.37
1143,115.24
1144,107.99
1145,115.24
1146,120.88
1147,81.39
1148,111.21
